channel_2_gain,noise_std,trials,mean_timing_error_us,median_timing_error_us,mean_distance_error_mm,median_distance_error_mm,percentile_90_distance_error_mm,percentile_95_distance_error_mm,maximum_distance_error_mm,success_rate_under_1mm_percent,failure_rate_above_1mm_percent
0.9,0.05,20.0,0.3649133567745782,0.2867560474219205,0.12516528137368033,0.09835732426571875,0.27762765485727176,0.2871294823211153,0.40156249979672115,100.0,0.0
0.85,0.05,20.0,0.2856021943816633,0.28310152289079077,0.09796155267291053,0.09710382235154123,0.17125920830204225,0.1727621634894324,0.18557922115958445,100.0,0.0
0.8,0.05,20.0,0.27116987359788947,0.2446399012610589,0.09301126664407611,0.0839114861325432,0.18110889280608183,0.19760987851962142,0.25816790355208025,100.0,0.0
1.0,0.075,20.0,0.5204802050477516,0.4484594774027323,0.17852471033137882,0.1538216007491372,0.2831831862873164,0.2974630116313371,0.4442904880616264,100.0,0.0
0.98,0.075,20.0,0.5266975248915288,0.4519558077303249,0.18065725103779434,0.15502084205150143,0.340491659721558,0.3456209888286129,0.4045967909413054,100.0,0.0
0.95,0.075,20.0,0.5967908709996982,0.6417958332165601,0.20469926875289648,0.22013597079328007,0.3550866314492818,0.3710551554874835,0.39516046668340704,100.0,0.0
0.9,0.075,20.0,0.5248329420889624,0.5535379591160037,0.18001769913651408,0.1898635199767893,0.32499786224804456,0.3779496811638531,0.3944858198683171,100.0,0.0
0.85,0.075,20.0,0.5462515637013794,0.5296080765606139,0.1873642863495732,0.18165557026029056,0.3150929889067177,0.3298633287425723,0.35432645299259885,100.0,0.0
0.8,0.075,20.0,0.43551992397207584,0.3326656487979899,0.14938333392242203,0.11410431753771053,0.35504151663854355,0.39929705307861185,0.427550608320749,100.0,0.0
1.0,0.1,20.0,0.5761057080893554,0.4434938547095646,0.19760425787464891,0.15211839216538067,0.4171413781067917,0.4532595724212503,0.4535734941734987,100.0,0.0
0.98,0.1,20.0,0.5137683142654288,0.41330844844456194,0.1762225317930421,0.14176479781648474,0.3793237396059549,0.42252326293013576,0.4248866760744027,100.0,0.0
0.95,0.1,20.0,0.5063827400349126,0.460786964195848,0.17368927983197507,0.1580499287191759,0.3742398675440485,0.3766410641527162,0.40414502385978074,100.0,0.0
0.9,0.1,20.0,0.7770072795874884,0.670767675475602,0.2665134968985086,0.23007331268813147,0.4628532666681267,0.4775459078545123,0.5252384761303802,100.0,0.0
0.85,0.1,20.0,0.8346575287872195,0.7602207458904939,0.2862875323740163,0.26075571584043944,0.6136938841987047,0.6179451508118124,0.6802041598175953,100.0,0.0
0.8,0.1,20.0,0.7994647839876972,0.8337643764591756,0.2742164209077801,0.2859811811254972,0.5222384751139619,0.5883184576485543,0.7411114956445545,100.0,0.0
